"station_id","obsTime","ELEV","WDIR","WDSD","TEMP","HUMD","PRES","SUN","H_24R","H_FX","H_XD","H_FXT","D_TX","D_TXT","D_TN","D_TNT"
"C0F860","2020-03-17 00:00:00","2215.000","218.000","1.500","9.000","0.470","783.900","","0.000","-99.000","-99.000","-99.000","15.200","","2.600",""
"C0U890","2020-03-17 00:00:00","116.000","278.000","1.300","15.200","0.720","1010.100","","0.000","-99.000","-99.000","-99.000","21.200","","12.100",""
"C0G800","2020-03-17 00:00:00","15.000","0.000","0.000","18.800","0.770","1018.800","","0.000","-99.000","-99.000","-99.000","24.800","","15.100",""
"C0F850","2020-03-17 00:00:00","379.000","136.000","1.000","15.600","0.810","976.900","","0.000","-99.000","-99.000","-99.000","22.900","","12.000",""
"C0AH50","2020-03-17 00:00:00","275.000","103.000","2.000","17.000","0.530","988.100","","0.000","-99.000","-99.000","-99.000","21.200","","13.600",""
"C0Z160","2020-03-17 00:00:00","124.000","0.000","0.100","14.400","0.850","1011.900","","0.000","-99.000","-99.000","-99.000","19.100","","14.400",""
"C0R540","2020-03-17 00:00:00","17.000","89.000","1.400","21.000","0.540","1018.500","","0.000","-99.000","-99.000","-99.000","24.700","","16.400",""
"C0K480","2020-03-17 00:00:00","56.000","138.000","0.500","18.700","0.720","1013.700","","0.000","-99.000","-99.000","-99.000","24.500","","15.500",""
"C0S770","2020-03-17 00:00:00","375.000","328.000","0.800","15.500","0.740","979.100","","0.000","-99.000","-99.000","-99.000","18.900","","12.700",""
"C0X230","2020-03-17 00:00:00","29.000","159.000","1.000","18.900","0.710","1018.800","","0.000","-99.000","-99.000","-99.000","25.000","","15.400",""
"C0R490","2020-03-17 00:00:00","49.000","0.000","0.100","19.800","0.810","1014.500","","0.000","-99.000","-99.000","-99.000","25.500","","16.500",""
"C0V440","2020-03-17 00:00:00","27.000","0.000","0.000","19.100","0.640","1017.000","","0.000","-99.000","-99.000","-99.000","26.100","","16.100",""
"C0SA40","2020-03-17 00:00:00","200.000","108.000","0.300","14.900","0.890","1000.400","","0.000","-99.000","-99.000","-99.000","21.600","","14.600",""
"C0Z280","2020-03-17 00:00:00","224.000","140.000","0.600","13.900","0.760","998.800","","0.000","-99.000","-99.000","-99.000","18.400","","13.500",""
"C0Z070","2020-03-17 00:00:00","247.000","0.000","0.000","13.900","0.980","994.100","","0.500","-99.000","-99.000","-99.000","17.600","","13.300",""
"CM0180","2020-03-17 00:00:00","313.000","0.000","0.100","17.300","0.820","985.500","","0.000","-99.000","-99.000","-99.000","26.600","","13.200",""
"C0T9N0","2020-03-17 00:00:00","261.000","69.000","0.600","14.500","0.910","993.300","","0.000","-99.000","-99.000","-99.000","19.400","","13.600",""
